O_DATA,O_LINENO,O_TERMINALNO,predHour,pred_start_stop_ID,pred_end_stop_ID,O_UP
10-28,678,904388,14:00:00,12,33,0
10-26,13,902540,17:00:00,7,19,1
10-27,711,906948,13:00:00,12,44,0
10-28,912,907336,12:00:00,8,31,1
10-28,746,905258,8:00:00,5,13,1
10-27,22,912205,9:00:00,18,29,0
10-31,619,904719,8:00:00,3,21,0
10-29,610,905251,16:00:00,26,33,1
10-28,186,906477,10:00:00,34,44,0
10-30,600,905259,16:00:00,8,25,1
10-26,211,902067,9:00:00,7,31,1
10-30,750,905339,8:00:00,4,17,0
10-25,866,905578,9:00:00,9,35,0
10-26,806,906546,7:00:00,27,31,1
10-29,906,906976,10:00:00,32,37,0
10-25,673,900203,9:00:00,37,42,1
10-29,804,911512,8:00:00,13,25,1
10-30,572,903040,10:00:00,18,24,0
10-27,4593,907410,17:00:00,44,58,1
10-28,841,900866,8:00:00,26,41,1
10-31,902,905380,10:00:00,18,24,0
10-25,868,900836,15:00:00,9,33,0
10-26,961,903075,15:00:00,8,36,0
10-29,641,902645,8:00:00,26,43,1
10-31,570,901151,18:00:00,4,12,0
10-26,841,902925,19:00:00,31,41,1
10-28,751,942260,20:00:00,19,25,1
10-31,651,902941,12:00:00,21,26,0
10-26,802,903049,19:00:00,13,28,1
10-27,533,900680,17:00:00,8,27,1
10-27,871,906829,13:00:00,33,39,1
10-26,953,921683,19:00:00,18,30,1
10-26,868,906241,17:00:00,5,21,0
10-27,735,900557,9:00:00,5,24,0
10-30,681,907282,16:00:00,4,24,1
10-27,655,906093,13:00:00,28,33,0
10-29,836,905217,14:00:00,9,34,0
10-26,723,904503,9:00:00,8,16,1
10-26,47,963840,7:00:00,2,20,0
10-28,866,905583,8:00:00,20,37,0
10-28,681,907251,14:00:00,27,34,1
10-25,652,903929,7:00:00,67,84,1
10-25,55050,905821,7:00:00,7,20,0
10-25,34,912368,7:00:00,13,25,1
10-27,153,904127,11:00:00,11,20,0
10-25,606,900499,13:00:00,10,39,0
10-27,717,901011,9:00:00,6,11,1
10-29,847,906676,22:00:00,32,47,0
10-29,600,912249,22:00:00,18,25,1
10-31,462,901887,8:00:00,12,18,0
10-26,907,905526,13:00:00,26,33,0
10-29,968,903263,10:00:00,13,18,0
10-26,608,905376,17:00:00,41,48,0
10-28,838,921600,12:00:00,35,43,0
10-27,3,932510,9:00:00,19,25,1
10-27,872,902285,11:00:00,8,35,1
10-26,830,907143,11:00:00,19,26,1
10-28,9,904262,18:00:00,20,25,0
10-25,862,901091,9:00:00,17,30,1
10-27,6002,900331,17:00:00,9,29,1
10-25,308,901354,17:00:00,11,20,1
10-28,662,900640,12:00:00,36,42,0
10-31,693,907415,10:00:00,15,35,1
10-30,47,963841,18:00:00,43,51,0
10-30,751,942260,20:00:00,19,25,1
10-26,688,903773,13:00:00,60,66,0
10-26,673,900216,17:00:00,29,43,0
10-31,652,903877,18:00:00,59,68,0
