900484-10-1,33304,3
900484-16-0,54655,41
900484-8-0,25283,2
900485-15-1,56703,2
900485-8-1,26170,3
900486-14-1,51802,33
900486-15-0,53585,4
900486-16-0,54005,6
900487-14-1,51801,2
900488-10-1,32401,14
900488-7-0,23898,6
900488-9-1,31521,2
900489-9-0,28805,41
900489-9-1,32396,3
900494-10-0,35582,4
900494-14-0,51799,18
900494-16-0,54001,36
900494-8-1,29275,3
900494-9-1,29275,3
900495-16-0,55106,4
900495-16-1,54006,35
900495-7-1,21600,21
900495-8-0,25200,7
900495-9-0,28801,41
900496-10-0,32409,23
900496-16-1,54002,32
900496-8-1,25208,12
900498-15-1,51285,13
900498-7-1,22817,2
900498-8-1,25200,21
900499-16-1,54000,25
900499-7-1,23042,2
900499-8-1,25200,3
900500-10-0,33423,41
900500-16-1,54009,30
900501-9-1,28805,2
900503-9-0,33356,4
900504-10-1,32402,2
900504-7-1,22355,2
900504-8-0,27171,4
900504-9-0,28802,17
900505-14-1,53159,2
900506-10-1,33358,2
900506-11-1,36008,19
900506-16-1,54035,3
900506-17-1,57659,28
900506-7-1,21601,12
900506-8-0,26202,2
900506-8-1,25202,40
900506-9-0,28802,22
900508-11-1,36009,2
900508-16-0,54006,41
900508-16-1,54947,3
900508-7-1,25132,2
900508-8-0,30265,4
900508-9-0,30265,4
900509-10-0,36351,4
900509-8-1,30592,2
900513-11-0,36008,41
900513-14-1,52331,3
900513-15-0,51801,41
900513-16-1,54004,19
900513-8-0,28025,41
900513-8-1,27791,3
900515-7-1,26473,3
900516-14-1,51801,33
900516-7-1,21674,2
900520-15-1,51797,43
900520-7-1,26643,2
900520-8-1,26643,2
900531-17-0,57691,2
900536-14-1,51803,3
900536-16-1,57015,2
900536-8-0,27018,2
900536-9-1,32314,2
900537-10-0,32629,16
900537-14-0,51793,16
900537-15-0,51793,16
900537-15-1,52203,2
900537-17-0,57655,16
900537-8-0,25202,16
900537-9-1,30808,3
900539-10-1,32408,6
900539-17-0,57637,16
900539-7-1,24527,2
900540-10-0,32400,3
900540-8-0,25202,25
900541-10-0,32403,12
900541-7-0,21609,2
900541-8-0,25200,25
900541-9-0,28802,22
900542-10-1,32400,9
900542-16-1,54003,9
900543-10-1,32401,15
900543-14-0,51797,16
900543-7-1,23556,2
900543-8-0,25307,2
900543-9-1,30705,2
900544-11-1,36002,2
900544-7-0,21603,16
900544-8-0,25203,12
900544-8-1,28806,2
900545-15-0,52552,2
900545-15-1,51802,12
900546-10-1,35328,2
900546-15-1,54584,2
900546-16-0,54003,16
900546-8-1,28066,2
900549-10-0,32408,4
900549-8-1,29836,2
900549-9-1,29836,2
900551-16-1,54268,4
900552-8-0,26291,16
900552-9-0,29681,2
900558-8-1,27034,2
900560-17-1,57654,25
900561-14-1,53936,2
900619-10-0,32400,10
900619-15-0,51798,12
900619-16-1,57830,4
900620-14-1,51801,20
900620-16-0,57710,2
900620-17-0,57710,2
900620-7-0,21631,2
901147-16-0,54004,7
901148-10-1,32408,28
901150-10-1,32401,27
901151-10-1,32400,25
901152-10-1,32402,22
901153-14-1,51803,22
901155-16-0,55719,2
901156-15-0,55906,2
901157-7-0,27713,28
901158-7-0,24569,28
901159-15-0,54663,2
901159-16-0,54663,2
901160-14-0,51802,28
901160-14-1,52152,2
901161-15-0,57039,2
901162-16-0,54002,28
901164-7-0,21600,11
901164-8-0,25201,26
901165-9-0,28800,13
901415-16-0,54000,39
901488-9-0,31241,2
901492-10-0,32400,39
901707-15-0,51805,17
901730-7-0,23343,4
901734-11-0,36008,18
901734-15-0,51797,30
901734-8-0,25376,37
901737-7-0,21603,2
901740-17-0,57707,2
901740-8-0,25686,2
901740-9-0,28805,16
901742-14-1,51821,2
901742-17-0,57656,2
901742-8-0,30443,2
901742-9-0,30443,2
901743-11-0,36006,29
901743-14-0,51797,14
901743-15-0,51797,14
901743-16-1,54007,2
901743-8-1,26065,2
901743-9-0,30345,2
901744-7-0,22944,2
901744-8-0,25205,18
901745-14-0,52569,2
901745-15-0,52569,2
901745-7-0,23360,2
901745-8-0,25205,10
901745-8-1,28420,2
901746-9-0,30712,2
901747-10-0,33400,2
901747-11-0,36000,2
901747-9-1,29329,2
901748-15-0,56042,2
901749-8-0,28720,2
901750-17-0,58114,2
901755-15-0,53959,17
901755-15-1,54172,4
901755-17-0,57602,9
901755-7-1,22649,15
901757-8-1,28335,5
901758-9-0,30969,13
901759-10-0,32404,18
901759-15-1,52480,5
901759-17-0,57601,17
901762-8-0,25206,18
901764-13-0,43208,18
901764-16-1,56423,13
901764-8-1,25202,10
901767-11-0,36001,29
901767-14-0,51882,2
901767-16-1,56652,2
901767-17-1,57639,12
901767-8-0,26865,35
901767-8-1,28375,2
901768-14-1,52915,2
901768-15-0,51795,45
901768-15-1,52915,2
901768-16-1,54009,10
901769-14-1,52634,10
901769-16-1,54004,10
901771-10-0,35150,45
901772-14-0,51804,31
901772-9-1,28801,14
901773-15-1,53974,3
901773-16-0,54151,45
901773-16-1,54005,3
901773-7-1,25268,2
901773-8-1,25268,2
901774-15-1,55207,2
901774-7-1,23845,3
901774-8-0,25208,45
901774-9-0,32072,2
901776-14-0,51795,8
901776-15-0,51795,8
901776-15-1,56681,2
901777-10-1,32404,8
901777-14-1,51799,30
901777-15-0,53708,2
901777-16-0,54009,5
901777-17-0,57620,35
901777-8-1,31636,2
901777-9-0,29503,45
901779-10-0,32402,45
901779-15-1,51806,12
