O_DATA,O_LINENO,O_TERMINALNO,predHour,pred_start_stop_ID,pred_end_stop_ID,pred_timeStamps
10-25,1,901530,11:00:00,24,30,169;238;287;378;457;507;567
10-25,1,901530,17:00:00,7,30,180;230;396;460;620;750;830;900;1185;1375;1436;1515;1741;1946;2006;2076;2196;2356;2445;2515;2605;2695;2765;2825
10-25,1,901530,7:00:00,10,29,160;230;301;413;513;650;700;830;1058;1118;1178;1338;1419;1484;1644;1725;1835;1966;2117;2323
10-25,1,902731,13:00:00,19,29,100;170;310;390;440;710;774;882;1075;1248;1448
10-25,1,902731,21:00:00,17,29,170;380;445;495;626;686;737;898;977;1034;1184;1307;1487
10-25,1,902737,11:00:00,19,30,190;401;461;521;621;801;865;925;1034;1114;1174;1244
10-25,1,902745,7:00:00,21,29,133;203;264;484;594;706;826;936;1111
10-25,1,902747,9:00:00,9,30,150;204;323;473;533;603;855;1045;1115;1205;1382;1547;1607;1657;1749;1879;1935;1994;2073;2143;2203;2273
10-25,1,902751,17:00:00,10,30,70;230;370;450;525;804;994;1054;1144;1294;1494;1554;1624;1744;1934;2007;2079;2189;2279;2339;2419
10-25,1,902753,11:00:00,10,29,164;212;311;427;597;847;957;1137;1525;1645;1705;1945;2046;2126;2275;2375;2460;2616;2746;2972
10-25,1,902753,13:00:00,4,29,110;220;310;420;514;634;784;854;925;1040;1191;1343;1403;1513;1749;1859;1919;2099;2179;2229;2384;2524;2631;2752;2891;3083
10-25,1,902753,17:00:00,26,30,65;175;255;315;365
10-25,1,902753,19:00:00,13,30,70;130;387;547;607;671;872;1037;1107;1168;1278;1458;1537;1601;1711;1800;1860;1930
10-25,1,902753,7:00:00,22,29,81;171;378;460;560;698;808;1008
10-25,1,902753,9:00:00,15,29,171;231;401;722;812;882;1062;1151;1240;1491;1591;1691;1815;1964;2159
10-25,1,902754,17:00:00,6,29,258;412;472;640;704;817;967;1057;1119;1395;1581;1651;1752;1921;2102;2162;2214;2324;2493;2557;2626;2746;2827;2887
10-25,1,902755,15:00:00,20,29,70;241;331;421;640;749;855;1015;1165;1357
10-25,1,902755,17:00:00,11,29,50;130;248;418;588;648;828;1101;1201;1271;1481;1571;1661;1981;2106;2216;2376;2526;2697
10-25,1,902756,13:00:00,11,21,79;159;290;380;550;640;871;1146;1266;1336;1466
10-25,1,902759,13:00:00,8,30,110;220;330;696;806;916;1026;1136;1276;1386;1496;1643;1723;1784;1894;2004;2114;2224;2334;2444;2554;2664;2774
10-25,1,904645,15:00:00,8,30,57;237;337;467;607;697;757;992;1172;1233;1313;1483;1649;1709;1768;1872;1992;2049;2110;2210;2289;2349;2418
10-25,1,904645,21:00:00,24,28,160;230;326;456;588
10-25,1,904645,9:00:00,15,30,259;399;449;529;689;847;928;998;1098;1288;1348;1417;1528;1607;1657;1727
10-25,1,904647,13:00:00,22,29,110;160;360;472;572;767;904;1080
10-25,1,904648,9:00:00,8,29,66;157;307;358;447;561;711;862;932;1112;1355;1455;1515;1675;1748;1818;2055;2162;2262;2391;2511;2697
10-25,10021,902057,19:00:00,18,22,110;200;490;610;730
10-25,12,901789,7:00:00,22,28,50;100;140;270;410;490;550
10-25,12,901790,15:00:00,9,28,199;310;540;650;739;889;1519;1778;1928;2277;2527;2617;2788;2847;2897;2958;3099;3259;3329;3429
10-25,12,901790,19:00:00,5,30,71;252;371;482;523;573;753;873;983;1023;1261;1391;1561;1801;1931;2041;2152;2422;2562;2622;2832;2952;3183;3363;3423;3513
10-25,12,901791,15:00:00,3,28,150;230;310;430;550;650;700;750;910;1020;1140;1200;1390;1580;1761;2191;2301;2391;2511;2692;2802;2862;3052;3172;3412;3601
10-25,12,901791,19:00:00,25,30,150;250;510;640;710;780
10-25,12,901793,11:00:00,16,30,230;400;750;850;940;1060;1250;1340;1410;1630;1740;1981;2101;2181;2261
10-25,12,901793,7:00:00,9,28,80;170;360;460;550;680;1000;1190;1290;1508;1658;1789;1879;1919;1969;2009;2139;2282;2352;2402
10-25,12,901794,13:00:00,13,28,100;261;521;731;901;1121;1372;1472;1631;1682;1736;1786;1926;2067;2146;2217
10-25,12,901794,9:00:00,17,30,161;421;531;621;741;931;1051;1121;1301;1431;1661;1831;1891;1991
10-25,12,901797,17:00:00,15,28,200;420;550;890;1100;1260;1419;1469;1529;1579;1729;1959;2039;2099
10-25,12,901798,17:00:00,8,30,130;190;240;420;510;650;780;1170;1380;1550;1890;2060;2170;2300;2591;2740;2820;3010;3121;3351;3531;3641;3791
10-25,12,903030,13:00:00,5,28,91;282;422;561;641;701;851;951;1081;1231;1411;1601;1851;2241;2341;2441;2551;2721;2841;2931;3131;3251;3502;3681
10-25,12,903030,7:00:00,24,28,100;310;510;600;670
10-25,12,903031,9:00:00,13,30,130;200;521;751;891;1241;1341;1422;1522;1702;1802;1872;2022;2142;2382;2512;2572;2642
10-25,12,903035,7:00:00,13,30,110;220;390;510;640;890;970;1040;1130;1280;1380;1430;1619;1729;1969;2119;2169;2248
10-25,12,911553,17:00:00,24,28,50;190;370;450;511
