,line_no,line_up,station_num,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_24,station_25,station_26,station_27,station_28,station_29,station_30,station_31,station_32,station_33,station_34,station_35,station_36,station_37,station_38,station_39,station_40,station_41,station_42,station_43,station_44,station_45,station_46,station_47,station_48,station_49,station_50,station_51,station_52,station_53,station_54,station_55,station_56,station_57,station_58,station_59,station_60,station_61,station_62,station_63,station_64,station_65,station_66,station_67,station_68,station_69,station_70,station_71,station_72,station_73,station_74,station_75,station_76,station_77,station_78,station_79,station_80,station_81,station_82,station_83,station_84,station_85
0,10路,0,20,西站公交站(C1站台),小伙巷,新三条石大街,三条石,西于庄,西沽,丁字沽,勤俭道,丁字沽四段,丁字沽八段,丁字沽十三段(咸阳北路),天穆村,华润万家北辰店,马庄,北仓礼堂,北仓,北运河桥,御龙湾,泽天下,引河里北道站(引河北里公交站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10路,1,18,引河里北道站(引河北里公交站),泽天下,北辰医院,北仓,北仓礼堂,马庄,华润万家北辰店,天穆村,丁字沽十三段(丁字沽一号路),丁字沽八段,丁字沽四段,勤俭道,丁字沽,西沽,西于庄,新三条石大街,小伙巷,西站公交站(C1站台),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12路,0,30,宿纬路,辰纬路南,宙纬路,黄纬路,金钢桥,东马路,北门(北马路),中研院附属医院,西北角地铁站,南马路,天津商场,南开二纬路,长江道,今晚报大厦,六里台,七里台,八里台,天塔,苍穹道,环湖西里,体育宾馆,体育学院,李七庄,空军医院,凌庄子道,凌庄子,彩虹花园,水上公园西路金谷园,龙滨园,动物园站(动物园公交站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12路,1,32,动物园站(动物园公交站),龙滨园,华苑新城,金谷园,彩虹花园,凌庄子,凌庄子道,空军医院,李七庄,体育学院,体育宾馆,环湖西里,苍穹道,天塔,聂公桥,八里台,七里台,六里台,今晚报大厦,长江道,南开二纬路,天津商场,南马路,西北角地铁站,中研院附属医院,北门(北马路),东马路,金钢桥,黄纬路,宙纬路,辰纬路,宿纬路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13路,0,18,体北站(体院北公交站),宾水桥,宾馆西路,银河广场北(原天津宾馆),迎宾馆,鑫银大厦,儿童医院,西康路,昆明路,湛江路,外国语大学,浦口道,合肥道,凯旋门,曲阜道,大同道,口腔医院(哈尔滨道口),天津站(天津站A3站台),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13路,1,18,天津站(天津站A3站台),台儿庄路津湾广场,大连道,泰安道,曲阜道,凯旋门,合肥道,浦口道,外国语大学,湛江路,昆明路,儿童医院,鑫银大厦,迎宾馆,银河广场北(原天津宾馆),宾馆西路,宾水桥,体北站(体院北公交站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15路,0,18,丹江道公交站,赵沽里,月牙河,靖江桥,靖江路,中医二附院,王串场,芳景里,开云大厦,小树林,十字街,望海楼,估衣街,河北大街,运河北路,御河湾,大丰西胡同,西站公交站(C1站台),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15路,1,18,西站公交站(C1站台),大丰西胡同,御河湾,运河北路,河北大街,估衣街,望海楼,十字街,小树林,开云大厦,芳景里,王串场,中医二附院,靖江路,靖江桥,月牙河,赵沽里,丹江道公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,161路,0,55,西站公交站(A1站台),小伙巷,估衣街,鼓楼,慎益大街,南市旅馆街,升安大街(陞安大街),海光寺,六里台,八里台,天塔,苍穹道,环湖西里,体育宾馆,体育学院,李七庄,丽江道,王兰庄,小倪庄,高庄子,九十五中学,梨园头,大寺,芦北口,红旗村,青泊洼,小孙庄新区,小孙庄[西青区],大侯庄新区,大侯庄,王稳庄工业区,王稳庄医院,王稳庄,西兰坨,东兰坨,王台,东台子,万家码头,中塘村,黄房子,双闸,中塘镇政府,大港四中,张港子村,大安桥,罗马广场,大港实验中学,四化建,胜利街(迎宾超市),大港世纪广场,重阳里,晨晖北里,阳春里,兴盛里,大港老客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,161路,1,60,大港老客运站,兴盛里,阳春里,晨晖北里,重阳里,大港世纪广场,胜利街(迎宾超市),四化里东门,八栋楼,石化社区医院,兴华里,前进里(喜荣街),大港实验中学,罗马广场,大安桥,张港子村,大港四中,中塘镇政府,双闸,黄房子,中塘村,万家码头,东台子,王台,东兰坨,西兰坨,王稳庄,王稳庄医院,王稳庄工业区,大侯庄,大侯庄新区,小孙庄[西青区],小孙庄新区,青泊洼,红旗村,芦北口,大寺,梨园头,九十五中学,高庄子,小倪庄,王兰庄,丽江道,李七庄,体育学院,体育宾馆,环湖西里,苍穹道,天塔,八里台,六里台,海光寺,升安大街(陞安大街),南市旅馆街,慎益大街,鼓楼,估衣街,小伙巷,西站公共汽车站,西站公交站(A1站台),,,,,,,,,,,,,,,,,,,,,,,,,,
