,name
0,247社区
1,BBA公司
2,EOD总部港
3,NBA中心
4,SM城市广场
5,SM城市广场公交站
6,一中心医院(复康路)
7,一中心医院(终点站)
8,一号公交首末站(海河教育园一号公交站)
9,一号桥地铁站
10,一汽丰田西门
11,一汽夏利
12,一百中学
13,一纬路(华城公邸)
14,一经路
15,一阳磁性材料
16,丁字沽
17,丁字沽一号路
18,丁字沽八段
19,丁字沽公交站
20,丁字沽十一段
21,丁字沽十三段(丁字沽一号路)
22,丁字沽十三段(咸阳北路)
23,丁字沽四段
24,丁家房子
25,丁家村
26,丁庄
27,丁庄子
28,七号路海关
29,七堡村
30,七星花园
31,七星里
32,七邻里
33,七里台
34,七里峰村
35,七里海国家湿地公园
36,七里海大道
37,七里海镇
38,七里香格
39,七零七所大楼
40,万东路
41,万全道
42,万兴工业园
43,万兴花园
44,万卉路
45,万卉路卉康道
46,万华里
47,万博广场
48,万发科技园
49,万家码头
50,万山道跃进路
51,万新公寓
52,万新南公交站(万新村南公交站)
53,万新机械
54,万新村东
55,万新村北站(万新村北公交站)
56,万新村南
57,万明园
58,万明里
59,万源路
60,万科实验模范学校
61,万科新城(万科花园路)
62,万科新城(普济河东道)
63,万科新城站(万科新城公交站)
64,万科新里程
65,万科柏翠园
66,万科水晶城
67,万科清雅苑
68,万科金域蓝湾
69,万科魅力城
70,万科魅力城(终点站)
71,万绿花园
72,万达家园
73,万达广场[滨海塘沽]
74,万达新城
75,万达轮胎集团
76,万通供热
77,万通国际新城
78,万锦中央公园
79,三十五中学
80,三千路
81,三号公寓
82,三号路
83,三号院总站(光明大道)
84,三号院总站(团结路)
85,三号院高层
86,三合
87,三合小学
88,三呼庄村
89,三和公司
90,三和小区
91,三安光电
92,三家店村
93,三明里
94,三星电子
95,三星电机
96,三星通信
97,三条石
98,三水南里
99,三溪塘
100,三潭东里
101,三环宿舍(天祥工业区)
102,三电汽车空调
103,三百万
104,三百吨(新港一号路)
105,三经路
106,三街化工厂
107,三道沟
108,三里兴
109,三间房
110,上三里(京福公路)
111,上京和园
112,上京康园
113,上京熙园
114,上京雍园
115,上京顺园
116,上仓中学
117,上仓镇
118,上仓镇中心小学
119,上仓镇政府
120,上北新新家园东门
121,上北新新家园西门
122,上古林(小古林饭庄)
123,上宝塔村
124,上杭花园
125,上河头
126,上蒲口
127,上辛口
128,下三里(南纬三路)
129,下三里(胜利大街)
130,下三里铁道口
131,下五庄村
132,下仓中学
133,下仓医院
134,下仓氧气厂
135,下仓线路器材厂
136,下仓镇
137,下仓镇政府
138,下坞村
139,下坞村委会
140,下朱庄公交站
141,下殷庄
142,下河头
143,下王各庄
144,下瓦房公交站
145,下瓦房地铁站
146,下辛口
147,下里庄
148,世博华明馆
149,世春里
150,世纪天乐
151,世纪宾馆
152,世纪广场[滨海塘沽]
153,世纪祥和家园
154,世纪花园
155,世纪花园[宁河区]
156,世纪豪庭家园
157,世通大厦
158,业盛家园
159,业盛道
160,东丽体育中心
161,东丽北部许可中心
162,东丽国防教育基地
163,东丽大道
164,东丽开发区
165,东丽开发区三经路
166,东丽开发区二经路
167,东丽开发区五经路
168,东丽开发区六经路
169,东丽开发区站(东丽开发区轻轨公交站)
170,东丽开发区管委会
171,东丽排管处
172,东丽新业广场
173,东丽湖公交站
174,东丽湖度假村
175,东丽湖生态公园
176,东丽湖路
177,东丽航空商务区
178,东丽航空商务区南
179,东丽郊野公园
180,东九道
181,东二道
182,东于庄
183,东五台寺
184,东五道中环东路
185,东井峪
186,东八道
187,东六经路
188,东六道环河东路
189,东兰坨
190,东兴市场
191,东兴立交桥
192,东北角
193,东升村
194,东升村(七里海大道)
195,东升里
196,东双塘(京福公路)
197,东双塘(双兴街)
198,东台子
199,东咀(东嘴)
200,东四路
201,东四道
202,东城家园
203,东堤头
204,东堤头商贸城(枫水湾)
205,东堤头大桥(华北桥)
206,东堤村
207,东堼
208,东塘坨
209,东大屯
210,东大屯(喜邦线)
211,东大屯中心站
212,东大站
213,东大站联合小学
214,东大街
215,东姜井
216,东姜井站(东姜井公交站)
217,东孔庄
218,东安驾校
219,东寨[宝坻宝武路]
220,东寨[静海区]
221,东小王台村
222,东小许庄村
223,东尹村委会
224,东局子
225,东庄坨
226,东店子
227,东康家园
228,东张庄
229,东张庄公交站
230,东惠家园
231,东房子
232,东抛庄
233,东方仕嘉
234,东方商业街
235,东方大桥
236,东方小区
237,东方尚都
238,东方文化广场
239,东方新城
240,东方红立交桥
241,东方财信
242,东施古镇
243,东昌路口
244,东李自沽
245,东杨庄村
246,东柳木村
247,东树深村
248,东桑园
249,东桑园(津静公路)
250,东桑园桥
251,东桥头[滨海大港]
252,东桥头村[蓟州区]
253,东梗
254,东棘坨村
255,东棘坨镇政府
256,东楼
257,东江路
258,东江路公交站
259,东江道洞庭路
260,东河头村
261,东河筒
262,东沽路津南新城
263,东泥沽
264,东洲桥
265,东海商厦
266,东海花园
267,东淀
268,东瑞家园
269,东瓦村
270,东疆商品交易市场
271,东疆港公交站(东疆金融贸易中心)
272,东疆湾景区
273,东疆第二联检服务中心
274,东疆纪念公园
275,东疆邮轮母港
276,东白庄
277,东白闸
278,东盈里
279,东睦粉末冶金
280,东移民
281,东窑
282,东窑洼
283,东肖庄村(京福公路)
284,东芦庄村
285,东花园
286,东葛岑
287,东董村
288,东蛇麻港
289,东西仓村
290,东西庄房村
291,东贾口
292,东赵庄
293,东赵庄新家园
294,东赵庄村[宁河区]
295,东赵庄村委会
296,东辛庄
297,东边庄东
298,东边庄西
299,东郭家庄
300,东钓台
301,东长屯
302,东门外
303,东风北里
304,东风南路
305,东风地道
306,东风地道(862路/962路)
307,东风地道(大直沽西路)
308,东风立交桥
309,东风里
310,东风里公交站
311,东马坊
312,东马路
313,东魏甸
314,东鲁沽
315,东龙虎峪村
316,中义心村
317,中于飞村
318,中交地产c谷
319,中保楼
320,中信公园城
321,中信工业区
322,中信广场
323,中兴桥
324,中兴沽村
325,中兴道
326,中冶环保公司
327,中北乐园公交站
328,中北二街
329,中北公交站
330,中北外环京福公路(宝峨机械)
331,中北大道
332,中北小学
333,中北斜村委会(溪华苑)
334,中北汽车工业园(金进光电)
335,中北汽车工业园九川道
336,中北里
337,中北镇中心幼儿园
338,中北镇公交站(中北公交站)
339,中北镇工业园管委会
340,中北高新区
341,中区西里
342,中医一附院
343,中医一附院新院
344,中医二附院
345,中医学院(天津中医药大学)
346,中医院[宁河]
347,中医院[宁河区]
348,中华民营经济园
349,中华石园
350,中后街村
351,中嘉东道
352,中国一重
353,中国农业银行
354,中国移动(胜利大街)
355,中国联通
356,中国航天
357,中塘公交站
358,中塘村
359,中塘示范镇
360,中塘镇政府
361,中塘顺利桥
362,中天东门
363,中央大道航母主题公园
364,中孚路
365,中山门东里(友爱东里)
366,中山门二号路
367,中山门南里
368,中山门和睦道(中心北道)
369,中山门和睦道(中心西道)
370,中山门地铁站
371,中山门虎丘路
372,中建商混
373,中建幸福城
374,中建滨海壹号
375,中德应用技术大学
376,中心一号路
377,中心公园(826路/838路)
378,中心公园(851路)
379,中心公园(92路/827路)
380,中心公园(93路/185路)
381,中心公园(9路/831路)
382,中心公园(丹东路)
383,中心公园(承德道)
384,中心公园(辽宁路)
385,中心北道
386,中心北里
387,中心南道
388,中心商务区管委会
389,中心大道中环南路
390,中心大道西九道
391,中心大道西十一道
392,中心庄
393,中心庄中学
394,中心庄路
395,中心桥
396,中心渔港海湾一道
397,中心渔港海湾五道公交站
398,中心西道
399,中成机械制造公司
400,中成装备制造公司
401,中捷道沽村
402,中旺镇政府
403,中昌北大道
404,中昌新村
405,中晓园
406,中河
407,中河头
408,中河桥
409,中港路
410,中环东路
411,中环半导体
412,中环南路
413,中环南路(益源钢板)
414,中环南路航海路
415,中环学院
416,中环西路西七道
417,中环西路西八道
418,中生大道
419,中盛里
420,中石油桥
421,中矿
422,中研院附属医院
423,中科百奥
424,中粮
425,中联产业园服务区
426,中航直升机
427,中船重工
428,中西村
429,中财塑胶
430,中赵路
431,中辛庄
432,中郑各庄
433,中部新城
434,中铁十八局
435,中铁十八局五公司
436,中铁城建大厦
437,中铁滨海欣城
438,中阳里
439,中际装备
440,丰乐里
441,丰华电子小区
442,丰台南
443,丰台镇
444,丰台镇政府
445,丰年村
446,丰泽二大道
447,丰泽道
448,丰津传动
449,丰田发动机厂
