,num,line_no,line_up,station_num,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_24,station_25,station_26,station_27,station_28,station_29,station_30,station_31,station_32,station_33,station_34,station_35
0,0,1路,0,27,高中学区公交枢纽,东六北一路口,东六北二路口,58小区南,北二东五路口,人工湖南,东方花园,阳光丽景,武警六支队,原二建工区,二医院,医学院南,原红山办事处,党校西,玛管处,25小区南,原五金公司,原红旗商场(移动公司),第六中学(原新城站),区师范学校,市体育馆(民航售票处),西环(宏源证券),农贸市场,建设银行(市一小),长城宾馆,服装城,老街,,,,,,,,,
1,1,1路,1,26,老街,服装城,长城宾馆,建设银行(市一小),农贸市场,市体育馆(民航售票处),区师范学校,第六中学(原新城站),原红旗商场(移动公司),原五金公司,25小区南,玛管处,党校西,原红山办事处,医学院南,二医院,原二建工区,武警六支队,阳光丽景,东方花园,人工湖南,北二东五路口,58小区南,东六北二路口,东六北一路口,高中学区公交枢纽,,,,,,,,,,
2,2,12路,0,36,开发区客运站,步行街建材市场,夏威夷南站,世纪公园东站,党政服务中心南,玫瑰园小区,党政服务中心西,市政府西,东四北三路口北,公交二车场,石河子农行,天富名城西门,东三北二路口,二医院北门,交警指挥中心,石河子电大,石河子宾馆南,游憩广场,军垦博物馆,建筑设计院,人民医院,人民医院西,百家园,服装城西,老街,农机公司,迎宾楼,宝马公司,白扬社区,苗木基地,军垦新村,军垦路,北泉镇,北泉银行,北泉镇市场,周总理纪念碑
3,3,12路,1,35,周总理纪念碑,北泉镇市场,北泉银行,北泉镇,军垦路,军垦新村,苗木基地,白扬社区,宝马公司,迎宾楼,农机公司,老街,服装城西,百家园,人民医院西,人民医院,西环商场南,军垦博物馆,石河子宾馆,原外贸局,中国石油,公安局,石河子大学,原气象局,天富名城西门,北三东三路口东,公交二车场,东四北三路口北,市政府西,东四北四路口南,玫瑰园小区,市人民政府,夏威夷南站,步行街建材市场,开发区客运站,
4,4,14路,0,31,绿洲医院,环卫处车队,十六小区西,城区交警大队,西公园东门,工商局,人民医院,石河子卫校,农贸市场西门,一小西门,商贸城,服装城,老街,第四中学,原红山工贸,技工学校,小百花,兵团五建,通联公司医院,石河子大学北门,第五中学,万和租赁,养路段生活区,液化气总站,职业技术学院,东桥村,六宫村,六宫村东,景盛园,高管局,开发区客运站,,,,,
5,5,14路,1,31,开发区客运站,步行街建材市场,景盛园,六宫村东,六宫村,东桥村,职业技术学院,液化气总站,养路段生活区,万和租赁,第五中学,石河子大学北门,通联公司医院,兵团五建,小百花,技工学校,原红山工贸,第四中学,老街,服装城,商贸城,一小西门,农贸市场西门,石河子卫校,人民医院,工商局,西公园东门,城区交警大队,十六小区西,环卫处车队,绿洲医院,,,,,
6,6,10路,0,28,老街,第四中学,原红山工贸,技工学校,原小百花,兵团五建,通联中学,金马市场,石河子大学西,石河子大学,原气象局,伯爵庄园,石河子大学东校区,玫瑰园小区,市人民政府,夏威夷,高管局,金龙建材城,原糠醛厂,天平农机厂,东热电厂,新安酒厂,天康饲料,大道公司,北四东十路口,69233部队,部队生活区,银燕路,,,,,,,,
7,7,10路,1,28,银燕路,部队生活区,69233部队,北四东十路口,大道公司,天康饲料,新安酒厂,东热电厂,天平农机厂,原糠醛厂,金龙建材城,高管局,夏威夷,市人民政府,玫瑰园小区,双语学校,伯爵庄园,原气象局,石河子大学,石河子大学西,金马市场,通联中学,兵团五建,原小百花,技工学校,原红山工贸,第四中学,老街,,,,,,,,
8,8,11路,0,28,原团结商场,农贸市场,长城宾馆,邮电宾馆,八一棉纺厂,八一酒厂,农科院,活畜市场,通联三五连,三宫店大门,乌兰乌苏,花园镇,西大桥,二营路口,一道班,畜牧连,坦克团,林管站,东湾九队,东湾乡,南湾,151团四连,151团加工厂,紫泥泉镇,151团二连,家什窑,石场镇医院,石场镇,,,,,,,,
9,9,11路,1,28,石场镇,石场镇医院,家什窑,151团二连,紫泥泉镇,151团加工厂,151团四连,南湾,东湾乡,东湾九队,林管站,坦克团,畜牧连,一道班,二营路口,西大桥,花园镇,乌兰乌苏,三宫店大门,通联三五连,活畜市场,农科院,八一酒厂,八一棉纺厂,邮电宾馆,长城宾馆,农贸市场,原团结商场,,,,,,,,
10,10,13路,0,27,电中驾校训练场,天业塑料厂,原粮油加工厂,原造纸厂,西工业区市场北,糖厂生活区,西公园北门,造纸厂生活区,人民医院,西环(建筑设计院),农贸市场,中国银行,百货大楼西,原三江公司,区干休所,金马市场,原小车排,养征处,东油库,中亚加油站,郊区交警大队,农副产品交易市场,电中驾校,温州国际商城,九洲物流,东三北九路口,清泉小区,,,,,,,,,
11,11,13路,1,27,清泉小区,东三北九路口,九洲物流,温州国际商城,电中驾校,农副产品交易市场,郊区交警大队,中亚加油站,东油库,养征处,原小车排,金马市场,区老干所,原三江公司,百货大楼西,中国银行,农贸市场,西环(建筑设计院),人民医院,造纸厂生活区,西公园北门,糖厂生活区,西工业区市场北,原造纸厂,原粮油加工厂,天业塑料厂,电中驾校训练场,,,,,,,,,
12,12,15路,0,14,邮电大楼,农贸市场,长城宾馆,服装城,老街,农机公司,老街路口,八一酒厂,活畜市场,通联三五连,小庙村,三宫店大门,下三宫村,三宫店村,,,,,,,,,,,,,,,,,,,,,,
13,13,15路,1,14,三宫店村,下三宫村,三宫店大门,小庙村,通联三五连,活畜市场,八一酒厂,老街路口,农机公司,老街,服装城,长城宾馆,农贸市场,邮电大楼,,,,,,,,,,,,,,,,,,,,,,
14,14,17路,0,18,移动公司(原红旗商场),市中医院,交警城区大队,原柴油机厂北,西工业区市场南,供电公司,原八一毛纺厂,努尔巴克村,四宫村,三宫村,畜牧队,建材总场,红旗商店,三中队,石南农场场部,农二连,轮窑,石河子花园机场,,,,,,,,,,,,,,,,,,
15,15,17路,1,18,石河子花园机场,轮窑,农二连,石南农场场部,三中队,红旗商店,建材总场,畜牧队,三宫村,四宫村,努尔巴克村,原八一毛纺厂,供电公司,西工业区市场南,原柴油机厂北,交警城区大队,市中医院,移动公司(原红旗商场),,,,,,,,,,,,,,,,,,
16,16,18路,0,21,邮电大楼,百货大楼,外贸局,公安局,福利中心,市人民政府,金龙建材城,天康饲料,稽管检查站,东城加油站,机运公司,工业园区,玛电加油站,二道桥,二站,五团基地,五团,钻井队,五级电站,鸡场,红山嘴电厂,,,,,,,,,,,,,,,
17,17,18路,1,21,红山嘴电厂,鸡场,五级电站,钻井队,五团,五团基地,二站,二道桥,玛电加油站,工业园区,机运公司,东城加油站,稽管检查站,天康饲料,金龙建材城,市人民政府,福利中心,公安局,外贸局,百货大楼,邮电大楼,,,,,,,,,,,,,,,
18,18,19路,0,22,火车站,铁路货场,铁路生活区东,铁路生活区北,152团五连,152团试验站,兵团六建,党校西,红山办事处,医学院西门,交警指挥中心,原福利中心,石河子大学,原气象局,伯爵庄园,石河子大学东校区,玫瑰园小区,党政服务中心,开发区客运站,中国人民银行,天富巨城西门,高中学区(西门),,,,,,,,,,,,,,
19,19,19路,1,24,高中学区(西门),天富巨城西门,中国人民银行,开发区客运站,党政服务中心,玫瑰园小区,石河子大学东校区,伯爵庄园,原气象局,石河子大学,原福利中心,交警指挥中心,医学院西门,红山办事处,党校西,储金市场,兵团六建,152团试验站,152团五连北,152团五连,铁路生活区北,铁路生活区,铁路货场,火车站,,,,,,,,,,,,
20,20,16路,0,23,白杨小区,312国道西三路口,西热电厂,原八一棉纺厂,原八一糖厂,西工业区市场北,糖厂生活区,西公园北门,人民医院,西环(建筑设计院),游憩广场(军垦博物馆),石河子宾馆南,电大,交警指挥中心,二医院北门,北三东三路口西,中国农业银行,公交二车场,世纪公园,开发区客运站,天富玉城东,天富巨城东,高中学区公交枢纽,,,,,,,,,,,,,
21,21,16路,1,23,高中学区公交枢纽,天富巨城东,天富玉城东,开发区客运站,世纪公园,公交二车场,中国农业银行,北三东三路口西,二医院北门,交警指挥中心,电大,石河子宾馆南,游憩广场(军垦博物馆),西环(建筑设计院),人民医院,西公园北门,糖厂生活区,西工业区市场北,原八一糖厂,原八一棉纺厂,西热电厂,312国道西三路口,白杨小区,,,,,,,,,,,,,
22,22,2路,0,19,客运中心,客运公司,天筑集团,子午路(夏岛咖啡),中国银行,建设银行,长城宾馆,百家园,人民医院西,工商局,西公园东门,城区交警大队,柴油机厂,西工业区市场南,供电公司,八毛生活区,原八一毛纺厂,努尔巴克村北,努尔巴克村,,,,,,,,,,,,,,,,,
23,23,2路,1,19,努尔巴克村,努尔巴克村北,原八一毛纺厂,八毛生活区,供电公司,西工业区市场南,柴油机厂,城区交警大队,西公园东门,工商局,人民医院西,百家园,长城宾馆,建设银行,中国银行,子午路(夏岛咖啡),天筑集团,客运公司,客运中心,,,,,,,,,,,,,,,,,
24,24,20路,0,26,邮电大楼,农贸市场,子午路(夏岛咖啡),天筑集团,客运公司,客运中心,蔬菜批发市场,种子加工厂,种畜场,葡萄研究中心,液压件生活区,农垦中专,天业电厂,总场工四连,八一路口,总场战三连,总场战四连,杨家庄道班,四排,五分场三连,养殖连,玛管处学校,北湖公园,玛管处生活区,原学校,工程队,,,,,,,,,,
25,25,20路,1,26,工程队,原学校,玛管处生活区,北湖公园,玛管处学校,养殖连,五分场三连,四排,杨家庄道班,总场战四连,总场战三连,八一路口,总场工四连,天业电厂,农垦中专,液压件生活区,葡萄研究中心,种畜场,种子加工厂,蔬菜批发市场,客运中心,客运公司,天筑集团,子午路(夏岛咖啡),农贸市场,邮电大楼,,,,,,,,,,
26,26,21路,0,15,移动公司(原红旗商场),原五金公司,25小区南,玛管处,兵团六建,152团五连,棉麻公司,国家粮库,南湾村,152团三连,152团四连,加工厂,152团一连,152团十连,白杨山庄,,,,,,,,,,,,,,,,,,,,,
27,27,21路,1,15,白杨山庄,152团十连,152团一连,加工厂,152团四连,152团三连,南湾村,国家粮库,棉麻公司,152团五连,兵团六建,玛管处,25小区南,原五金公司,移动公司(原红旗商场),,,,,,,,,,,,,,,,,,,,,
28,28,22路,0,14,移动公司(原红旗商场),原五金公司,25小区南,玛管处,兵团六建,152团五连,152团六连路口,二宫大队,二宫八队,南热电路口,二宫三队,二宫六队,二宫一队,152团二连(河西村),,,,,,,,,,,,,,,,,,,,,,
29,29,22路,1,14,152团二连(河西村),二宫一队,二宫六队,二宫三队,南热电路口,二宫八队,二宫大队,152团六连路口,152团五连,兵团六建,玛管处,25小区南,原五金公司,移动公司(原红旗商场),,,,,,,,,,,,,,,,,,,,,,
30,30,23路,0,10,移动公司(原红旗商场),原五金公司,25小区南,玛管处,兵团六建,152团五建,棉麻公司,国家粮库,南湾村,五道湾村,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,23路,1,10,五道湾村,南湾村,国家粮库,棉麻公司,152团五建,兵团六建,玛管处,25小区南,原五金公司,移动公司(原红旗商场),,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,24路,0,20,团结商场,百货大楼西,原三江公司,区老干所,金马市场,石河子大学北,第五中学,万和租赁,北五东三路口,原液化气站,职业技术学院,东桥村,六宫村,六宫村东,清真寺,东五北七路口,东五北九路口,东五北十路口,大庙村,惠民小区,,,,,,,,,,,,,,,,
33,33,24路,1,20,惠民小区,大庙村,东五北十路口,东五北九路口,东五北七路口,清真寺,六宫村东,六宫村,东桥村,职业技术学院,原液化气站,北五东三路口,万和租赁,第五中学,石河子大学北,金马市场,区老干所,原三江公司,百货大楼西,团结商场,,,,,,,,,,,,,,,,
34,34,27路,0,14,原团结商场,邮电大楼,百货大楼西,子午路(夏岛咖啡),客运公司,客运中心,蔬菜批发市场,种子加工厂,种畜场,葡萄研究中心,液压件厂生活区,农垦中专,天业电厂,天业电石厂,,,,,,,,,,,,,,,,,,,,,,
35,35,27路,1,14,天业电石厂,天业电厂,农垦中专,液压件厂生活区,葡萄研究中心,种畜场,种子加工厂,蔬菜批发市场,客运中心,客运公司,子午路(夏岛咖啡),百货大楼西,邮电大楼,原团结商场,,,,,,,,,,,,,,,,,,,,,,
36,36,29路,0,33,原柴油机厂西,原柴油机厂,交警城区大队,十六小区北,中医院,师范学校,民航售票处,西环(建筑设计院),军垦博物馆,游憩广场东,24小区西,第十中学(原市二中),原红山办事处,石河子大学医学院南,二医院,二建工区,北三东三路口东,公交二车场,东四北三路口北,市人民政府西,东四北四路口南,玫瑰园小区,市人民政府,夏威夷,高管局,金龙建材城,普尔斯玛特超市,明旺乳业,兵地天元乳业,上六宫村北,天业集团,银河纺织城,康师傅厂,,,
37,37,29路,1,33,康师傅厂,银河纺织城,天业集团,上六宫村北,兵地天元乳业,明旺乳业,普尔斯玛特超市,金龙建材城,高管局,夏威夷,市人民政府,玫瑰园小区,东四北四路口南,市人民政府西,东四北三路口北,公交二车场,北三东三路口东,二建工区,二医院,石河子大学医学院南,原红山办事处,第十中学(原市二中),24小区西,游憩广场东,军垦博物馆,西环(建筑设计院),民航售票处,师范学校,中医院,十六小区北,交警城区大队,原柴油机厂,原柴油机厂西,,,
38,38,26路,0,29,白杨小区,312国道西三路口,西热电厂,纺织厂生活区,纺织厂影院,邮电宾馆,长城宾馆,建设银行,中国银行,百货大楼,中国石油,公安局,石河子大学,原气象局,伯爵庄园,石河子大学东校区,玫瑰园小区,党政服务中心西,夏威夷南,东五北四路口,景盛园小区,景盛园小区北,第二十二中学,开发区医院,东六北三路口,58小区东,东六路北二路口,东六路北一路口,高中学区公交枢纽,,,,,,,
39,39,26路,1,29,高中学区公交枢纽,东六北一路口,东六北二路口,58小区东,东六北三路口,开发区医院,第二十二中学,景盛园小区北,景盛园小区,东五北四路口,夏威夷南,党政服务中心西,玫瑰园小区,石河子大学东校区,伯爵庄园,原气象局,石河子大学,公安局,中国石油,百货大楼南,中国银行,建设银行,长城宾馆,邮电宾馆,纺织厂影院,纺织厂生活区,西热电厂,312国道西三路口,白杨小区,,,,,,,
40,40,28路,0,35,妇幼保健院,石河子乡,新城花园,市中医院,十六小区北,城区交警大队,西公园东门,市工商局,人民医院西,百家园,服装城西,老街,农机公司,原迎宾楼,宝马公司,白杨社区,苗木基地,军垦新村,军垦路口,北泉镇,北泉花园小区,总场良种站,总场园林站,原中基葡萄园,种畜场,葡萄研究所,液压件厂生活区,农垦中专,天业热电厂,天业电厂二期,天辰化工热电,一分场三连,一分场三连东,天业电石厂,天业天辰化工,
41,41,28路,1,35,天业天辰化工,天业电石厂,一分场三连东,一分场三连,天辰化工热电,天业电厂二期,天业热电厂,农垦中专,液压件厂生活区,葡萄研究所,种畜场,原中基葡萄园,总场园林站,总场良种站,北泉花园小区,北泉镇,军垦路口,军垦新村,苗木基地,白杨社区,宝马公司,原迎宾楼,农机公司,老街,服装城西,百家园,人民医院西,市工商局,西公园东门,城区交警大队,十六小区北,市中医院,新城花园,石河子乡,妇幼保健院,
42,42,3路,0,31,妇幼保健院,石河子乡,新城花园,市中医院,第六中学(原新城),区师范学校,市体育馆(民航售票处),西环(宏源证券),农贸市场,中国银行,百货大楼南,中国石油,公安局,石河子大学,原气象局,伯爵庄园,石河子大学东校区,玫瑰园小区,党政服务中心,夏威夷南,高管局南,金龙建材城,开发区医院,原二毛生活区,交警开发区大队,东热电厂,原金波港,新安酒厂,东八北三路口,天业西门,河畔村西,,,,,
