,name,longitude,latitude
0,247社区,117.337807,39.709927
1,BBA公司,117.713768,39.051575
2,EOD总部港,117.365555,39.161533
3,NBA中心,117.050743,39.356922
4,SM城市广场,117.421881,39.155635
5,SM城市广场公交站,117.421881,39.155635
6,一中心医院(复康路),117.154198,39.099464
7,一中心医院(终点站),117.153107,39.099895
8,一号公交首末站(海河教育园一号公交站),117.379166,39.013279
9,一号桥地铁站,117.281487,39.096207
10,一汽丰田西门,117.722740,39.057110
11,一汽夏利,117.045242,39.121655
12,一百中学,117.340195,39.076904
13,一纬路(华城公邸),117.796059,39.252213
14,一经路,117.350761,39.066002
15,一阳磁性材料,117.441368,39.961342
16,丁字沽,117.168953,39.176208
17,丁字沽一号路,117.172081,39.176098
18,丁字沽八段,117.155418,39.182861
19,丁字沽公交站,117.168953,39.176208
20,丁字沽十一段,117.155487,39.177296
21,丁字沽十三段(丁字沽一号路),117.152634,39.184055
22,丁字沽十三段(咸阳北路),117.151627,39.186176
23,丁字沽四段,117.160088,39.180622
24,丁家房子,117.167549,38.758629
25,丁家村,116.768776,38.895657
26,丁庄,117.357300,40.008979
27,丁庄子,117.151741,38.642757
28,七号路海关,117.747467,39.048161
29,七堡村,116.844406,39.030334
30,七星花园,117.425591,40.052536
31,七星里,117.794044,39.251072
32,七邻里,117.460739,38.835518
33,七里台,121.109009,40.989864
34,七里峰村,117.456558,40.051662
35,七里海国家湿地公园,117.517357,39.278950
36,七里海大道,117.427887,39.240330
37,七里海镇,117.674477,39.309376
38,七里香格,117.440552,39.321095
39,七零七所大楼,117.150070,39.180336
40,万东路,117.266243,39.140018
41,万全道,117.191315,39.127392
42,万兴工业园,116.979385,39.287983
43,万兴花园,117.267563,39.146233
44,万卉路,117.088242,39.115730
45,万卉路卉康道,117.090752,39.115185
46,万华里,117.159609,39.142685
47,万博广场,117.058746,39.369190
48,万发科技园,117.232430,39.246063
49,万家码头,117.332916,38.839405
50,万山道跃进路,117.316025,39.125099
51,万新公寓,117.280205,39.125534
52,万新南公交站(万新村南公交站),117.285454,39.131626
53,万新机械,117.380417,39.063885
54,万新村东,117.282845,39.140362
55,万新村北站(万新村北公交站),117.276364,39.142003
56,万新村南,117.284378,39.131264
57,万明园,117.271912,39.095860
58,万明里,117.275177,39.096962
59,万源路,117.081390,39.115746
60,万科实验模范学校,117.495598,39.180828
61,万科新城(万科花园路),117.210150,39.206924
62,万科新城(普济河东道),117.209412,39.205967
63,万科新城站(万科新城公交站),117.210272,39.207080
64,万科新里程,117.405304,39.146160
65,万科柏翠园,117.704409,39.018001
66,万科水晶城,117.225113,39.051010
67,万科清雅苑,117.700645,38.957352
68,万科金域蓝湾,117.731979,39.032162
69,万科魅力城,117.359085,39.084805
70,万科魅力城(终点站),117.359085,39.084805
71,万绿花园,117.201149,39.046585
72,万达家园,117.225319,39.211693
73,万达广场[滨海塘沽],117.359306,39.131329
74,万达新城,117.202232,39.199825
75,万达轮胎集团,117.229706,39.212078
76,万通供热,117.579613,39.016155
77,万通国际新城,117.726097,39.035862
78,万锦中央公园,117.296975,39.686957
79,三十五中学,117.188972,39.164825
80,三千路,117.204086,39.199703
81,三号公寓,117.239563,38.994411
82,三号路,117.114754,39.282051
83,三号院总站(光明大道),117.503136,38.729191
84,三号院总站(团结路),117.502625,38.729095
85,三号院高层,117.499252,38.733109
86,三合,117.529945,38.973671
87,三合小学,117.526970,38.984802
88,三呼庄村,116.786530,38.878876
89,三和公司,117.473648,38.824459
90,三和小区,117.237518,39.176064
91,三安光电,117.083977,39.073521
92,三家店村,117.494514,40.068367
93,三明里,117.789352,39.242176
94,三星电子,122.043465,37.514687
95,三星电机,117.519096,39.089115
96,三星通信,117.241646,38.997353
97,三条石,117.179794,39.151329
98,三水南里,117.260704,39.056835
99,三溪塘,116.927986,39.660702
100,三潭东里,117.154261,39.117731
101,三环宿舍(天祥工业区),117.202171,39.018490
102,三电汽车空调,117.257622,38.986221
103,三百万,117.132011,39.232510
104,三百吨(新港一号路),117.724045,38.998844
105,三经路,117.358978,39.063328
106,三街化工厂,117.301170,39.144016
107,三道沟,117.381813,38.973934
108,三里兴,116.968010,39.158676
109,三间房,116.920540,39.576900
110,上三里(京福公路),116.923782,38.913776
111,上京和园,117.373238,39.540359
112,上京康园,117.390320,39.527832
113,上京熙园,117.384171,39.541775
114,上京雍园,117.397354,39.526917
115,上京顺园,117.379868,39.529537
116,上仓中学,117.395773,39.903556
117,上仓镇,117.402634,39.906242
118,上仓镇中心小学,117.402504,39.912052
119,上仓镇政府,117.402687,39.905708
120,上北新新家园东门,117.648392,39.060574
121,上北新新家园西门,117.643646,39.061340
122,上古林(小古林饭庄),117.486092,38.831303
123,上宝塔村,117.451729,40.057846
124,上杭花园,117.261108,39.144337
125,上河头,117.004166,39.196507
126,上蒲口,117.106529,39.280590
127,上辛口,116.971313,39.089516
128,下三里(南纬三路),116.919170,38.921332
129,下三里(胜利大街),116.920955,38.920001
130,下三里铁道口,116.920135,38.919884
131,下五庄村,117.273476,39.808472
132,下仓中学,117.433504,39.813877
133,下仓医院,117.429649,39.803791
134,下仓氧气厂,117.434090,39.810226
135,下仓线路器材厂,,
136,下仓镇,117.423965,39.789135
137,下仓镇政府,116.923180,38.927792
138,下坞村,117.789970,39.269028
139,下坞村委会,117.784627,39.265913
140,下朱庄公交站,117.098465,39.338058
141,下殷庄,117.218292,39.312912
142,下河头,117.017982,39.197277
143,下王各庄,117.466866,39.659569
144,下瓦房公交站,117.224878,39.105090
145,下瓦房地铁站,117.223450,39.104210
146,下辛口,116.980469,39.093681
147,下里庄,117.490318,39.936203
148,世博华明馆,117.384407,39.172035
149,世春里,117.163506,39.152538
150,世纪天乐,117.190178,39.151917
151,世纪宾馆,117.414818,40.044403
152,世纪广场[滨海塘沽],117.459290,38.844357
153,世纪祥和家园,117.240593,39.168217
154,世纪花园,117.814308,39.319710
155,世纪花园[宁河区],117.814308,39.319710
156,世纪豪庭家园,117.069565,39.379475
157,世通大厦,117.158920,39.116840
158,业盛家园,117.226532,39.020706
159,业盛道,117.224060,39.021133
160,东丽体育中心,117.326347,39.081429
161,东丽北部许可中心,117.436607,39.166008
162,东丽国防教育基地,117.377365,39.224072
163,东丽大道,117.495476,39.187412
164,东丽开发区,117.370140,39.056038
165,东丽开发区三经路,117.357727,39.070835
166,东丽开发区二经路,117.355278,39.076141
167,东丽开发区五经路,117.370880,39.066986
168,东丽开发区六经路,117.375694,39.065422
169,东丽开发区站(东丽开发区轻轨公交站),117.357739,39.081071
170,东丽开发区管委会,117.351562,39.079941
171,东丽排管处,117.496826,39.024441
172,东丽新业广场,117.355782,39.080257
