line_no,line_up,station_num,station_0,name_0,station_1,name_1,station_2,name_2,station_3,name_3,station_4,name_4,station_5,name_5,station_6,name_6,station_7,name_7,station_8,name_8,station_9,name_9,station_10,name_10,station_11,name_11,station_12,name_12,station_13,name_13,station_14,name_14,station_15,name_15,station_16,name_16,station_17,name_17,station_18,name_18,station_19,name_19,station_20,name_20,station_21,name_21,station_22,name_22,station_23,name_23,station_24,name_24,station_25,name_25,station_26,name_26,station_27,name_27,station_28,name_28,station_29,name_29,station_30,name_30,station_31,name_31,station_32,name_32,station_33,name_33,station_34,name_34,station_35,name_35,station_36,name_36,station_37,name_37,station_38,name_38,station_39,name_39,station_40,name_40,station_41,name_41,station_42,name_42,station_43,name_43,station_44,name_44,station_45,name_45,station_46,name_46,station_47,name_47,station_48,name_48,station_49,name_49,station_50,name_50,station_51,name_51,station_52,name_52,station_53,name_53,station_54,name_54,station_55,name_55,station_56,name_56,station_57,name_57,station_58,name_58,station_59,name_59,station_60,name_60,station_61,name_61,station_62,name_62,station_63,name_63,station_64,name_64,station_65,name_65,station_66,name_66,station_67,name_67,station_68,name_68,station_69,name_69,station_70,name_70,station_71,name_71,station_72,name_72,station_73,name_73,station_74,name_74,station_75,name_75,station_76,name_76,station_77,name_77,station_78,name_78,station_79,name_79,station_80,name_80,station_81,name_81,station_82,name_82,station_83,name_83,station_84,name_84,station_85,name_85,station_86,name_86,station_87,name_87,station_88,name_88,station_89,name_89,station_90,name_90,station_91,name_91,station_92,name_92,station_93,name_93,station_94,name_94,station_95,name_95,station_96,name_96,station_97,name_97,station_98,name_98,station_99,name_99,station_100,name_100,station_101,name_101,station_102,name_102,station_103,name_103,station_104,name_104,station_105,name_105,station_106,name_106,station_107,name_107,station_108,name_108,station_109,name_109,station_110,name_110,station_111,name_111,station_112,name_112,station_113,name_113,station_114,name_114,station_115,name_115,station_116,name_116,station_117,name_117,station_118,name_118,station_119,name_119,station_120,name_120,station_121,name_121,station_122,name_122,station_123,name_123,station_124,name_124,station_125,name_125,station_126,name_126
412路,0,16,199,宝坻客运站,3412,前槐树庄,5582,裕和家园,0,247社区,3474,汽车市场,3160,农产品市场,5,安乐村,2595,口东镇,2141,黑狼口,4605,窝贝厂路口,4579,王指挥路口,5894,张秀庄路口,5912,战备闸,4582,王木庄,2119,黄庄乡,2079,貉子沽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412路,1,16,2079,貉子沽,2119,黄庄乡,4582,王木庄,5912,战备闸,5894,张秀庄路口,4579,王指挥路口,4605,窝贝厂路口,2141,黑狼口,2595,口东镇,5,安乐村,3160,农产品市场,3474,汽车市场,0,247社区,5582,裕和家园,3412,前槐树庄,199,宝坻客运站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591路,0,17,3160,农产品市场,3474,汽车市场,0,247社区,5582,裕和家园,4029,顺驰小区[宝坻区],3429,劝宝购物,121,北方装饰城,199,宝坻客运站,3427,劝宝东门,204,宝坻总工会,3430,劝宝超市西门,196,宝坻医院,5353,岳园小区,2446,进京路小学,201,宝坻巡警支队,193,宝坻五中,198,宝坻四中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591路,1,17,198,宝坻四中,193,宝坻五中,201,宝坻巡警支队,2446,进京路小学,5353,岳园小区,196,宝坻医院,3430,劝宝超市西门,204,宝坻总工会,3427,劝宝东门,199,宝坻客运站,121,北方装饰城,3429,劝宝购物,4029,顺驰小区[宝坻区],5582,裕和家园,0,247社区,3474,汽车市场,3160,农产品市场,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562路,0,38,1574,高新公寓,2450,金侨大道,1,奥克斯电气,3370,蒲瑞和园,3374,蒲瑞馨园,3375,蒲瑞馨园中区,3376,蒲瑞馨园西区,5442,杨村第一中学,3373,蒲瑞祥园西区,3372,蒲瑞祥园中区,3371,蒲瑞祥园东区,2586,凯旋王国,1295,北岸尚城,1608,亨通路枫丹天城,1965,海达家乐三店,1229,佛罗伦萨小镇北门,4521,武清防疫站,544,翠景园小区,3943,盛世天下,5563,英华国际学校,3454,栖仙公寓西区,1963,海达家乐一店,3437,区医院[武清区],3327,平安里,3941,盛世华庭,1744,和平里,5443,杨村第三中学,3482,泉州路市场,4061,同泽园,460,春蕾巷,3560,人民警察公寓,2234,君利大厦,5627,运通广场,3857,市政工程公司,4863,徐官屯医院,4497,武宁路口,3557,人民法庭,4864,徐官屯工业区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562路,1,38,4864,徐官屯工业区,3557,人民法庭,4497,武宁路口,4863,徐官屯医院,3857,市政工程公司,5627,运通广场,2234,君利大厦,3560,人民警察公寓,460,春蕾巷,4061,同泽园,3482,泉州路市场,5443,杨村第三中学,1744,和平里,3941,盛世华庭,3327,平安里,3437,区医院[武清区],1963,海达家乐一店,3454,栖仙公寓西区,5563,英华国际学校,3943,盛世天下,544,翠景园小区,4521,武清防疫站,1229,佛罗伦萨小镇北门,1965,海达家乐三店,1608,亨通路枫丹天城,1295,北岸尚城,2586,凯旋王国,3371,蒲瑞祥园东区,3372,蒲瑞祥园中区,3373,蒲瑞祥园西区,3374,蒲瑞馨园,3375,蒲瑞馨园中区,3376,蒲瑞馨园西区,5442,杨村第一中学,3370,蒲瑞和园,1,奥克斯电气,2450,金侨大道,1574,高新公寓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35路,0,26,2696,丽苑小区站(丽苑小区公交站),5285,云丽园,2080,贺兰路,3010,龙山道昆仑路口,4389,万兴花园,3700,上杭花园,547,翠阜新村地铁站,5534,益寿里,2682,临池里,464,晨光道,2,奥兰里,5828,制药厂,4181,天津七中,1639,华北医院,3230,南横街,4233,天津站海河广场(天津站B1站台),253,渤海大楼(大沽北路),3846,山东路(赤峰道),1529,贵州路,5112,西康路地铁站,5302,医科大学,3466,气象台路德才里,806,东风里,1765,天塔南(原环湖医院),3267,宁乐里,3891,水上公园东门,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35路,1,26,3891,水上公园东门,3267,宁乐里,1765,天塔南(原环湖医院),806,东风里,3466,气象台路德才里,5302,医科大学,5112,西康路地铁站,1529,贵州路,3845,山东路(营口道),,,4235,天津站海河广场(天津站C1站台),2709,六纬路六经路,3230,南横街,1639,华北医院,4181,天津七中,5828,制药厂,2,奥兰里,464,晨光道,2682,临池里,547,翠阜新村地铁站,3700,上杭花园,4389,万兴花园,3010,龙山道昆仑路口,2080,贺兰路,5285,云丽园,2696,丽苑小区站(丽苑小区公交站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327路,0,14,2171,井冈山路公交站,773,东盈里,4880,新东方家园,3498,祈和新苑,470,晨阳花园,464,晨光道,2,奥兰里,4305,泰兴南路,677,东兴立交桥,3194,南大桥,1115,电表厂,692,东城家园,5232,雪莲桥,5232,公交四公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327路,1,14,5232,公交四公司,3500,秋丽家园北门,3499,秋丽家园,1115,电表厂,3194,南大桥,677,东兴立交桥,4305,泰兴南路,2,奥兰里,464,晨光道,470,晨阳花园,3498,祈和新苑,4880,新东方家园,773,东盈里,2171,井冈山路公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353路,0,20,4486,文江美庭苑(文江家园),458,春江里,819,丹江里,6033,赵沽里,5401,月牙河,2549,靖江东里,5268,义江里,2632,开江南里,3043,岷江路,3942,盛世嘉园,5979,真理园,2687,临营西里,5533,益寿东里,5534,益寿里,5534,益寿里,2682,临池里,464,晨光道,2,奥兰里,1844,河东万达广场,805,东风立交桥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353路,1,22,805,东风立交桥,5828,制药厂,2,奥兰里,464,晨光道,2682,临池里,547,翠阜新村地铁站,3700,上杭花园,3700,上杭花园,547,翠阜新村地铁站,5533,益寿东里,2687,临营西里,5979,真理园,3942,盛世嘉园,3043,岷江路,2632,开江南里,5268,义江里,2549,靖江东里,5401,月牙河,6033,赵沽里,819,丹江里,458,春江里,4486,文江美庭苑(文江家园),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130路,0,44,1612,会展中心公交站,4413,万科金域蓝湾,,,4342,泰达足球场(北海路),1296,枫叶学校(北海路),281,滨海伊势丹,5670,阳光银座,4371,腾飞路,4324,泰达会馆(黄海路),4902,新华路,704,东大街,4103,塘沽外滩公园,1743,和平路,1972,海门大桥,4090,坨地,4941,新桥里,1906,海晶南园,1990,环亚公司,3497,琦晟储运,3,奥林匹克博物馆,1436,官港森林公园,1434,官港,3175,南付营,1952,海滨工程检测公司,5220,鑫建公司,241,板桥,4723,学海路,242,板桥农场,4721,学府路,3711,世纪花园,1332,福绣园西门,993,大港老客运站,4673,兴盛里,6053,重阳里南门,970,大港世纪广场,3988,胜利街(迎宾超市),3800,四化里,974,大港八中,2704,六合里,2775,双拥路,1314,福安里,288,滨海学院东门,980,大港学苑路,975,大港公交站(大港大学城公交站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130路,1,45,975,大港公交站(大港大学城公交站),980,大港学苑路,288,滨海学院东门,1314,福安里,2775,双拥路,2704,六合里,974,大港八中,3800,四化里,3988,胜利街(迎宾超市),970,大港世纪广场,6053,重阳里南门,4673,兴盛里,993,大港老客运站,1332,福绣园西门,3711,世纪花园,4721,学府路,242,板桥农场,4723,学海路,241,板桥,5220,鑫建公司,1952,海滨工程检测公司,3175,南付营,1434,官港,1436,官港森林公园,3,奥林匹克博物馆,3497,琦晟储运,1990,环亚公司,1906,海晶南园,4941,新桥里,4090,坨地,1972,海门大桥,1743,和平路,4103,塘沽外滩公园,704,东大街,4902,新华路,4909,新华里,4324,泰达会馆(黄海路),4371,腾飞路,5670,阳光银座,281,滨海伊势丹,1296,枫叶学校(北海路),4342,泰达足球场(北海路),4423,万通国际新城,4413,万科金域蓝湾,1612,会展中心公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524路,0,46,1612,会展中心公交站,,,4413,万科金域蓝湾,4322,泰达二小,4303,泰丰家园北门,2634,开泰科技园,336,百合路(百和路),127,北洋集装箱,1172,顶益食品,3056,梅兰日兰,2483,金江路,817,丹江路,211,宝山道,2603,康乐园,5588,贻丰园,1770,宏达公寓,5500,洋货市场,5514,烟台道[滨海塘沽],1972,海门大桥,4090,坨地,4941,新桥里,1906,海晶南园,1990,环亚公司,5865,庄房村,3497,琦晟储运,3,奥林匹克博物馆,1436,官港森林公园,1434,官港,1970,海邻里,1399,古林街社区服务中心,1339,福锦园,1322,福润园,1320,福泽园,969,大港一中,1308,福兴医院,3698,上古林(小古林饭庄),1400,古林里,2660,科林公司,2915,老上古林,983,大港新客运站,2439,解放村,989,大港电厂,1186,二号院,991,大港石化公司,2879,炼油厂,5496,油田客运总站(三号院客运站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524路,1,46,5496,油田客运总站(三号院客运站),2879,炼油厂,991,大港石化公司,1186,二号院,989,大港电厂,2439,解放村,983,大港新客运站,2915,老上古林,2660,科林公司,1400,古林里,3698,上古林(小古林饭庄),1308,福兴医院,969,大港一中,1320,福泽园,1322,福润园,1339,福锦园,1399,古林街社区服务中心,1970,海邻里,1434,官港,1436,官港森林公园,3,奥林匹克博物馆,3497,琦晟储运,5865,庄房村,1990,环亚公司,1906,海晶南园,4941,新桥里,4090,坨地,1972,海门大桥,5514,烟台道[滨海塘沽],5500,洋货市场,1770,宏达公寓,5588,贻丰园,2603,康乐园,211,宝山道,817,丹江路,2483,金江路,3056,梅兰日兰,1172,顶益食品,127,北洋集装箱,336,百合路(百和路),2634,开泰科技园,4303,泰丰家园北门,4322,泰达二小,4423,万通国际新城,4413,万科金域蓝湾,1612,会展中心公交站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524路(快线),0,32,1596,高铁于家堡站(终点站),5957,浙商大厦,285,滨海国泰大厦,15,安阳道,348,碧水庄园,5634,远景庄园,5865,庄房村,3497,琦晟储运,3,奥林匹克博物馆,1436,官港森林公园,1434,官港,1490,港东新天地,1331,福绣园,993,大港老客运站,4673,兴盛里,6053,重阳里南门,970,大港世纪广场,3988,胜利街(迎宾超市),3801,四化里东门,2622,开元里北门,3746,双安里,976,大港公园,4668,兴旺里,2660,科林公司,2915,老上古林,983,大港新客运站,2439,解放村,989,大港电厂,1186,二号院,991,大港石化公司,2879,炼油厂,5496,油田客运总站(三号院客运站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
