complete 10,cost 18.625167846679688s.
complete 20,cost 37.15326499938965s.
complete 30,cost 55.73764681816101s.
complete 40,cost 74.30754661560059s.
complete 50,cost 92.8949191570282s.
complete 60,cost 111.48920369148254s.
complete 70,cost 130.09774518013s.
complete 80,cost 148.75967001914978s.
complete 90,cost 167.34379982948303s.
complete 100,cost 185.93437457084656s.
complete 110,cost 204.51491737365723s.
complete 120,cost 223.03453993797302s.
complete 130,cost 241.56506395339966s.
complete 140,cost 260.1999628543854s.
complete 150,cost 278.8085355758667s.
complete 160,cost 297.3198494911194s.
complete 170,cost 315.8874728679657s.
complete 180,cost 334.52673077583313s.
complete 190,cost 353.16052293777466s.
complete 200,cost 371.7018988132477s.
complete 210,cost 390.312326669693s.
complete 220,cost 408.9940218925476s.
complete 230,cost 427.6786468029022s.
complete 240,cost 446.2595057487488s.
complete 250,cost 464.86804270744324s.
complete 260,cost 483.4671096801758s.
complete 270,cost 502.0308926105499s.
complete 280,cost 520.5854487419128s.
complete 290,cost 539.1678352355957s.
complete 300,cost 557.7469305992126s.
complete 310,cost 576.399441242218s.
complete 320,cost 595.0204508304596s.
complete 330,cost 613.6000759601593s.
complete 340,cost 632.1857888698578s.
complete 350,cost 650.8088700771332s.
complete 360,cost 669.3922264575958s.
complete 370,cost 687.988025188446s.
complete 380,cost 706.5925440788269s.
complete 390,cost 725.1772789955139s.
complete 400,cost 743.7720227241516s.
complete 410,cost 762.3236601352692s.
complete 420,cost 780.947169303894s.
complete 430,cost 799.556403875351s.
complete 440,cost 818.1430950164795s.
complete 450,cost 836.7779269218445s.
complete 460,cost 855.3890023231506s.
complete 470,cost 874.0210244655609s.
complete 480,cost 892.6402306556702s.
complete 490,cost 911.214352607727s.
complete 500,cost 929.7627582550049s.
complete 510,cost 948.3297064304352s.
complete 520,cost 966.9391586780548s.
complete 530,cost 985.5876936912537s.
complete 540,cost 1004.2126638889313s.
complete 550,cost 1022.7930600643158s.
complete 560,cost 1041.3870904445648s.
complete 570,cost 1059.9943969249725s.
complete 580,cost 1078.5797235965729s.
complete 590,cost 1097.1470210552216s.
complete 600,cost 1115.74636220932s.
complete 610,cost 1134.3317410945892s.
complete 620,cost 1152.9181773662567s.
complete 630,cost 1171.4934372901917s.
complete 640,cost 1190.060587644577s.
complete 650,cost 1208.6599559783936s.
complete 660,cost 1227.2883644104004s.
complete 670,cost 1245.843930721283s.
complete 680,cost 1264.4362466335297s.
complete 690,cost 1283.0342152118683s.
complete 700,cost 1301.6297154426575s.
complete 710,cost 1320.2097561359406s.
complete 720,cost 1338.8299667835236s.
complete 730,cost 1357.401067495346s.
complete 740,cost 1375.9578824043274s.
